Layer,IOType,Strategy,Inputs,Outputs,ReuseFactor,Precision,AreaHLS,LatencyHLS,IIHLS,AreaSYN,RuntimeHLS,RuntimeSYN
dense,io_parallel,Resource,8,8,32,"ac_fixed<16,6,true>",3940.6,32,34,3676.386,39,40
dense,io_parallel,Resource,8,8,40,"ac_fixed<16,6,true>",3940.6,32,34,3676.386,67,29
dense,io_parallel,Resource,8,8,48,"ac_fixed<16,6,true>",3940.6,32,34,3676.386,63,30
dense,io_parallel,Resource,8,8,56,"ac_fixed<16,6,true>",3082.0,64,66,2922.542,24,31
dense,io_parallel,Resource,8,8,64,"ac_fixed<16,6,true>",3082.0,64,66,2922.542,60,29
dense,io_stream,Latency,8,8,16,"ac_fixed<16,6,true>",18298.1,16,16,17447.472,23,97
dense,io_stream,Latency,8,8,24,"ac_fixed<16,6,true>",17178.8,32,32,17055.654,23,108
dense,io_stream,Latency,8,8,32,"ac_fixed<16,6,true>",17178.8,32,32,17055.654,23,108
dense,io_stream,Latency,8,8,40,"ac_fixed<16,6,true>",15788.4,64,64,16603.188,22,108
dense,io_stream,Latency,8,8,48,"ac_fixed<16,6,true>",15788.4,64,64,16603.188,21,104
dense,io_stream,Latency,8,8,56,"ac_fixed<16,6,true>",15788.4,64,64,16603.188,21,105
dense,io_stream,Latency,8,8,64,"ac_fixed<16,6,true>",15788.4,64,64,16603.188,21,102
dense,io_stream,Resource,8,8,16,"ac_fixed<16,6,true>",9576.9,16,16,7078.792,13,38
dense,io_stream,Resource,8,8,24,"ac_fixed<16,6,true>",9576.9,16,16,7078.792,14,44
dense,io_stream,Resource,8,8,32,"ac_fixed<16,6,true>",7332.5,32,32,5794.278,61,44
dense,io_stream,Resource,8,8,40,"ac_fixed<16,6,true>",7332.5,32,32,5794.278,72,42
dense,io_stream,Resource,8,8,48,"ac_fixed<16,6,true>",7332.5,32,32,5794.278,74,38
dense,io_stream,Resource,8,8,56,"ac_fixed<16,6,true>",5929.7,64,64,5097.624,86,40
dense,io_stream,Resource,8,8,64,"ac_fixed<16,6,true>",5929.7,64,64,5097.624,95,41
dense,io_parallel,Latency,16,16,32,"ac_fixed<16,6,true>",50982.6,994,1026,53784.136,120,259
dense,io_parallel,Latency,16,16,48,"ac_fixed<16,6,true>",49967.5,15314,15362,49751.576,839,262
dense,io_parallel,Latency,16,16,64,"ac_fixed<16,6,true>",52654.4,4034,4098,55672.736,156,344
dense,io_parallel,Latency,16,16,80,"ac_fixed<16,6,true>",45974.1,22962,23042,48322.624,579,229
dense,io_parallel,Latency,16,16,96,"ac_fixed<16,6,true>",50804.4,12194,12290,54026.728,217,375
dense,io_parallel,Latency,16,16,112,"ac_fixed<16,6,true>",50971.3,14226,14338,55693.218,309,370
dense,io_parallel,Latency,16,16,128,"ac_fixed<16,6,true>",50888.8,16258,16386,54013.428,355,369
dense,io_parallel,Latency,16,16,144,"ac_fixed<16,6,true>",50065.8,36722,36866,53135.362,377,396
dense,io_parallel,Latency,16,16,160,"ac_fixed<16,6,true>",50169.8,40802,40962,53077.374,469,412
dense,io_parallel,Latency,16,16,176,"ac_fixed<16,6,true>",50260.3,44882,45058,53317.838,532,412
dense,io_parallel,Latency,16,16,192,"ac_fixed<16,6,true>",50322.7,48962,49154,53069.926,627,319
dense,io_parallel,Latency,16,16,208,"ac_fixed<16,6,true>",50454.3,53042,53250,56482.706,710,447
dense,io_parallel,Latency,16,16,224,"ac_fixed<16,6,true>",50630.8,57122,57346,53125.520,798,389
dense,io_parallel,Latency,16,16,240,"ac_fixed<16,6,true>",50564.7,61202,61442,53104.240,948,407
dense,io_parallel,Latency,16,16,256,"ac_fixed<16,6,true>",50583.3,65282,65538,53071.256,1061,365
dense,io_parallel,Resource,16,16,32,"ac_fixed<16,6,true>",11094.5,32,34,11091.402,51,61
dense,io_parallel,Resource,16,16,48,"ac_fixed<16,6,true>",11094.5,32,34,11091.402,64,62
dense,io_parallel,Resource,16,16,64,"ac_fixed<16,6,true>",7786.8,64,66,7751.240,40,56
dense,io_parallel,Resource,16,16,80,"ac_fixed<16,6,true>",7786.8,64,66,7751.240,63,52
dense,io_parallel,Resource,16,16,96,"ac_fixed<16,6,true>",7786.8,64,66,7751.240,63,54
dense,io_parallel,Resource,16,16,112,"ac_fixed<16,6,true>",6115.2,128,130,6143.802,34,52
dense,io_parallel,Resource,16,16,128,"ac_fixed<16,6,true>",6115.2,128,130,6143.802,73,53
dense,io_parallel,Resource,16,16,144,"ac_fixed<16,6,true>",6115.2,128,130,6143.802,65,51
dense,io_parallel,Resource,16,16,160,"ac_fixed<16,6,true>",6115.2,128,130,6143.802,71,53
dense,io_parallel,Resource,16,16,176,"ac_fixed<16,6,true>",6115.2,128,130,6143.802,63,54
dense,io_parallel,Resource,16,16,192,"ac_fixed<16,6,true>",6115.2,128,130,6143.802,72,57
dense,io_parallel,Resource,16,16,208,"ac_fixed<16,6,true>",5243.8,256,258,5280.100,28,53
dense,io_parallel,Resource,16,16,224,"ac_fixed<16,6,true>",5243.8,256,258,5280.100,58,53
dense,io_parallel,Resource,16,16,240,"ac_fixed<16,6,true>",5243.8,256,258,5280.100,62,53
dense,io_parallel,Resource,16,16,256,"ac_fixed<16,6,true>",5243.8,256,258,5280.100,63,49
dense,io_stream,Latency,16,16,32,"ac_fixed<16,6,true>",61031.2,33,32,64082.060,74,292
dense,io_stream,Latency,16,16,48,"ac_fixed<16,6,true>",78791.1,321,320,66839.416,980,615
dense,io_stream,Latency,16,16,64,"ac_fixed<16,6,true>",60117.6,65,64,62270.068,66,415
dense,io_stream,Latency,16,16,80,"ac_fixed<16,6,true>",60765.5,289,288,62593.790,535,501
dense,io_stream,Latency,16,16,96,"ac_fixed<16,6,true>",57004.9,129,128,62457.864,63,399
dense,io_stream,Latency,16,16,112,"ac_fixed<16,6,true>",57004.9,129,128,62457.864,63,397
dense,io_stream,Latency,16,16,128,"ac_fixed<16,6,true>",57004.9,129,128,62457.864,57,418
dense,io_stream,Latency,16,16,144,"ac_fixed<16,6,true>",54957.9,257,256,60300.072,59,376
dense,io_stream,Latency,16,16,160,"ac_fixed<16,6,true>",54957.9,257,256,60300.072,59,384
dense,io_stream,Latency,16,16,176,"ac_fixed<16,6,true>",54957.9,257,256,60300.072,61,382
dense,io_stream,Latency,16,16,192,"ac_fixed<16,6,true>",54957.9,257,256,60300.072,60,373
dense,io_stream,Latency,16,16,208,"ac_fixed<16,6,true>",54957.9,257,256,60300.072,58,392
dense,io_stream,Latency,16,16,224,"ac_fixed<16,6,true>",54957.9,257,256,60300.072,62,320
dense,io_stream,Latency,16,16,240,"ac_fixed<16,6,true>",54957.9,257,256,60300.072,58,399
dense,io_stream,Latency,16,16,256,"ac_fixed<16,6,true>",54957.9,257,256,60300.072,62,318
dense,io_stream,Resource,16,16,32,"ac_fixed<16,6,true>",20960.6,32,32,13537.538,17,84
dense,io_stream,Resource,16,16,48,"ac_fixed<16,6,true>",20960.6,32,32,13537.538,16,78
dense,io_stream,Resource,16,16,64,"ac_fixed<16,6,true>",15486.7,64,64,11362.190,72,73
dense,io_stream,Resource,16,16,80,"ac_fixed<16,6,true>",15486.7,64,64,11362.190,67,82
dense,io_stream,Resource,16,16,96,"ac_fixed<16,6,true>",15486.7,64,64,11362.190,65,86
dense,io_stream,Resource,16,16,112,"ac_fixed<16,6,true>",12131.3,128,128,10173.702,65,71
dense,io_stream,Resource,16,16,128,"ac_fixed<16,6,true>",12131.3,128,128,10173.702,65,80
dense,io_stream,Resource,16,16,144,"ac_fixed<16,6,true>",12131.3,128,128,10173.702,61,84
dense,io_stream,Resource,16,16,160,"ac_fixed<16,6,true>",12131.3,128,128,10173.702,63,86
dense,io_stream,Resource,16,16,176,"ac_fixed<16,6,true>",12131.3,128,128,10173.702,60,89
dense,io_stream,Resource,16,16,192,"ac_fixed<16,6,true>",12131.3,128,128,10173.702,65,82
dense,io_stream,Resource,16,16,208,"ac_fixed<16,6,true>",10292.1,256,256,9492.742,62,75
dense,io_stream,Resource,16,16,224,"ac_fixed<16,6,true>",10292.1,256,256,9492.742,62,74
dense,io_stream,Resource,16,16,240,"ac_fixed<16,6,true>",10292.1,256,256,9492.742,60,76
dense,io_stream,Resource,16,16,256,"ac_fixed<16,6,true>",10292.1,256,256,9492.742,63,76
dense,io_stream,Latency,32,32,64,"ac_fixed<16,6,true>",208843.2,65,64,230049.036,573,947
dense,io_stream,Resource,32,32,64,"ac_fixed<16,6,true>",46359.3,64,64,28061.670,37,168
dense,io_stream,Resource,32,32,96,"ac_fixed<16,6,true>",46359.3,64,64,28061.670,135,159
dense,io_stream,Resource,32,32,128,"ac_fixed<16,6,true>",32720.5,128,128,22891.960,33,126
dense,io_stream,Resource,32,32,160,"ac_fixed<16,6,true>",32720.5,128,128,22891.960,72,126
dense,io_stream,Resource,32,32,192,"ac_fixed<16,6,true>",32720.5,128,128,22891.960,71,138
dense,io_stream,Resource,32,32,224,"ac_fixed<16,6,true>",24979.0,256,256,20514.718,70,156
dense,io_stream,Resource,32,32,256,"ac_fixed<16,6,true>",24979.0,256,256,20514.718,68,131
dense,io_stream,Resource,32,32,288,"ac_fixed<16,6,true>",24979.0,256,256,20514.718,71,160
dense,io_stream,Resource,32,32,320,"ac_fixed<16,6,true>",24979.0,256,256,20514.718,67,156
dense,io_stream,Resource,32,32,352,"ac_fixed<16,6,true>",24979.0,256,256,20514.718,72,157
dense,io_stream,Resource,32,32,384,"ac_fixed<16,6,true>",24979.0,256,256,20514.718,69,159
dense,io_stream,Resource,32,32,416,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,68,171
dense,io_stream,Resource,32,32,448,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,71,164
dense,io_stream,Resource,32,32,480,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,70,170
dense,io_stream,Resource,32,32,512,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,69,172
dense,io_stream,Resource,32,32,544,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,71,144
dense,io_stream,Resource,32,32,576,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,72,171
dense,io_stream,Resource,32,32,608,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,71,166
dense,io_stream,Resource,32,32,640,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,74,172
dense,io_stream,Resource,32,32,672,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,76,143
dense,io_stream,Resource,32,32,704,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,77,138
dense,io_stream,Resource,32,32,736,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,71,159
dense,io_stream,Resource,32,32,768,"ac_fixed<16,6,true>",20722.7,512,512,19513.760,71,136
dense,io_stream,Resource,32,32,800,"ac_fixed<16,6,true>",18474.2,1024,1024,18816.308,73,136
dense,io_stream,Resource,32,32,832,"ac_fixed<16,6,true>",18474.2,1024,1024,18816.308,68,133
dense,io_stream,Resource,32,32,864,"ac_fixed<16,6,true>",18474.2,1024,1024,18816.308,73,138
dense,io_stream,Resource,32,32,896,"ac_fixed<16,6,true>",18474.2,1024,1024,18816.308,69,112
dense,io_stream,Resource,32,32,928,"ac_fixed<16,6,true>",18474.2,1024,1024,18816.308,70,139
dense,io_stream,Resource,32,32,960,"ac_fixed<16,6,true>",18474.2,1024,1024,18816.308,71,136
dense,io_stream,Resource,32,32,992,"ac_fixed<16,6,true>",18474.2,1024,1024,18816.308,68,134
dense,io_stream,Resource,32,32,1024,"ac_fixed<16,6,true>",18474.2,1024,1024,18816.308,77,138
dense,io_stream,Resource,8,8,9,"ac_fixed<16,6,true>",13952.8,8,8,9816.464,12,67
